"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
1,bpl noncirc,N,1,n,n,n,n,0,0,0,0,0,0,1,999,999,1,3,7,7,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,1,$0.00,100,$0.00,n,$100.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
2,bpl videos/dvds,R,7,y,n,n,y,3,5,7,7,3,3,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,50,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
3,bpl per adult,R,7,n,n,n,n,0,0,0,0,0,0,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,41,0,1,15,$0.00,0,$0.00,n,$3.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
4,bpl per juv,R,7,n,n,n,n,0,7,7,7,3,3,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,1,0,$0.00,0,$0.00,n,$3.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
5,bpl vip vid/dvd,R,7,y,n,n,y,0,7,7,7,3,3,7,999,0,7,3,7,7,16,0,0,0,1,2,3,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
6,bpl 21 days,R,21,y,n,n,y,3,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,25,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
7,bpl 21 days juv,R,21,y,n,n,y,3,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$15.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
8,bpl senior,R,21,y,n,n,y,3,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
9,bpl clrc/jref,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
10,bpl ILL,R,30,y,n,n,n,0,30,30,30,3,3,30,0,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
11,bpl teachers' card,R,42,y,n,n,y,3,42,42,42,0,0,42,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$15.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
12,bpl homebound,R,60,y,n,n,y,3,60,60,60,3,3,60,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
13,bpl institution,R,21,y,n,n,n,0,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
14,bpl 365 days,R,365,y,n,n,n,0,364,364,364,3,3,365,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
15,bpl ill videos,R,14,y,n,n,n,0,14,14,14,3,3,0,0,999,7,3,14,14,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
16,bpl book bag,R,21,n,n,n,n,0,21,21,0,1,1,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,1,0,$0.00,0,$0.00,n,$5.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
17,bpl test,R,14,y,n,n,n,0,14,14,0,1,1,14,999,0,7,3,7,7,16,0,0,0,1,2,3,0,0,0,0,0,0,0,0,39,3,0,0,0,0,41,0,1,25,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
18,bpl senior 7,R,7,y,n,n,y,3,7,7,7,3,3,7,999,0,7,3,7,7,16,0,0,0,1,2,3,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
19,bpl per staff/senior,R,7,n,n,n,n,0,0,0,0,0,0,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,41,0,1,0,$0.00,0,$0.00,n,$3.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
20,lsv noncirc,N,1,n,n,n,n,0,0,0,0,0,0,1,999,0,0,3,7,7,16,0,0,0,11,12,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,$0.00,0,$0.00,n,$20.00,$5.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
21,lsv 7 days,R,7,y,n,n,n,0,7,7,7,2,2,7,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$20.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
22,lsv 21 days,R,21,y,n,n,n,0,21,21,21,2,2,21,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$20.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
23,lsv 28 days,R,28,y,n,n,n,0,0,0,0,0,0,28,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$100.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
24,lsv staff non-circ,N,1,y,n,n,n,0,0,0,0,0,0,1,999,0,0,1,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,17,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ALL
