"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
1,non circulating,N,1,n,n,n,n,0,0,0,0,0,0,0,0,0,8,3,3,10,14,0,0,0,1,1,2,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,2,2,0,0,ALL
2,mvs non circ,N,1,n,n,n,n,0,0,0,0,0,0,9,999,999,0,4,5,10,15,1,0,0,186,186,3,3,0,0,10,10,10,10,10,0,0,0,0,0,10,6,8,0,100,$0.10,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,3,3,0,0,ALL
3,mvs 30d w/fines,R,30,y,n,n,n,0,31,30,30,1,1,30,999,999,14,4,5,10,15,1,0,0,188,188,3,3,0,0,10,10,10,10,10,57,2,0,0,0,10,5,8,0,100,$0.10,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,3,3,0,0,ALL
4,mvs 30d no fines,R,30,y,n,n,n,0,31,30,30,1,1,30,999,999,14,4,5,10,15,1,0,0,188,188,4,4,0,0,11,11,11,11,11,57,2,0,0,0,11,5,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,4,4,0,0,ALL
5,ep 21/d .20/d,R,21,n,n,n,n,0,21,21,21,2,0,7,999,999,0,3,5,10,15,1,0,0,1,1,3,3,0,0,10,10,10,10,10,0,0,0,0,0,10,5,8,3,100,$0.20,0,$0.00,n,$0.00,$0.00,$5.00,$0.00,$0.00,12,3,3,0,0,ALL
6,ep 56d 0r Holdable,R,56,y,n,n,n,0,57,0,0,0,0,56,999,999,8,3,5,10,25,1,0,0,114,115,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,3,25,$1.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,116,0,0,0,ALL
7,mvs 14d w/fines,R,14,y,n,n,n,0,15,14,14,1,1,14,999,999,14,4,5,10,15,1,0,0,188,188,3,3,0,0,10,10,10,10,10,57,2,0,0,0,10,5,8,0,100,$0.10,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,3,3,0,0,ALL
8,mvs 14d no fines,R,14,y,n,n,n,0,15,14,14,1,1,14,999,999,14,4,5,10,15,1,0,0,186,186,4,4,0,0,11,11,11,11,11,57,2,0,0,0,11,5,8,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,4,4,0,0,ALL
9,mvs 1d w/fines,R,1,n,n,n,n,0,1,1,1,0,0,1,999,999,1,4,5,10,15,1,0,0,188,188,3,3,0,0,10,10,10,10,10,0,0,0,0,0,10,5,8,0,100,$0.10,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,3,3,0,0,ALL
10,mvs 1d no fines,R,1,n,n,n,n,0,1,1,1,0,0,1,999,999,1,4,5,10,15,1,0,0,188,188,4,4,0,0,11,11,11,11,11,0,0,0,0,0,11,5,8,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,4,4,0,0,ALL
