"",Location,Patron Type,Item Type,Age Range,Rule Number,Active,Editable By
1,?????,9999,9999,,1,Y,ALL
2,ai*,9999,9999,,1,Y,ADMIN
3,ai*,"188,189,190,191",9999,,92,Y,ADMIN
4,"ai*  ","188,189",245,,120,Y,ADMIN
5,ai*,"188,189",338,,130,Y,ADMIN
6,ai*,"188,189",337,,88,Y,ADMIN
7,ai*,"188,189",336,,922,Y,ADMIN
8,ai*,"188,189",331,,50,Y,ADMIN
9,ai*,"188,189",219,,924,Y,ADMIN
10,"ai*  ","188,189",332,,925,Y,ADMIN
11,"aig* ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",333,,92,Y,ADMIN
12,aiged,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",333,,1,Y,ADMIN
13,aigmc,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",333,,1,Y,ADMIN
14,aiwms,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,1,Y,ADMIN
15,ailms,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,1,Y,ADMIN
16,aifms,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,1,Y,ADMIN
17,aigms,"2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,1,Y,ADMIN
18,ai*,9999,304,,108,Y,ADMIN
19,"ai*  ",9999,"345,344",,1,Y,ADMIN
20,"ai*  ","188,189",345,,126,Y,ADMIN
21,"ai*  ",190,344,,126,Y,ADMIN
22,ai*,"188,189,190",349,,126,Y,ADMIN
23,"ai*  ","188,189,190",332,,925,Y,ADMIN
24,ai*,"188,189,190",331,,50,Y,ADMIN
25,"ai*  ","188,189,190",179,,63,Y,ADMIN
26,ai*,9999,348,,1,Y,ADMIN
27,"ai*  ","188,189",348,,921,Y,ADMIN
28,"ai*  ","188,189,190",336,,922,Y,ADMIN
29,"ai*  ",190,337,,88,Y,ADMIN
30,"ai*  ",190,338,,130,Y,ADMIN
31,"ai*  ",190,346,,75,Y,ADMIN
32,"ai*  ",190,309,,71,Y,ADMIN
33,"ai*  ","188,189,190",339,,923,Y,ADMIN
34,ai*,190,350,,865,Y,ADMIN
35,"ai*  ","188,189,190",219,,924,Y,ADMIN
36,"ai*  ","188,189,190,191",329,,107,Y,ADMIN
37,"ai*  ","188,189,190,191",333,,48,Y,ADMIN
38,ai*,187,9999,,124,Y,ADMIN
39,"ai*  ",190,328,,71,Y,ADMIN
40,as*,9999,9999,,1,Y,ADMIN
41,"as*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,286,Y,ADMIN
42,"as*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",205,,201,Y,ADMIN
43,"as*  ",9999,"45,48,65,67,72,76,79,100,103,113,124,135,175,177,179,214,219,231,235,243,249,250,252,255",,1,Y,ADMIN
44,"as*  ",147,9999,,1,Y,ADMIN
45,"as*  ","63,162",9999,,1,Y,ADMIN
46,"as*  ",60,9999,,112,Y,ADMIN
47,"as*  ","56,58",9999,,109,Y,ADMIN
48,"as*  ",59,9999,,111,Y,ADMIN
49,"as*  ",57,9999,,110,Y,ADMIN
50,as*,"59,60",120,,1,Y,ADMIN
51,"as*  ",57,120,,110,Y,ADMIN
52,as*,"56,58",120,,109,Y,ADMIN
53,"as*  ","56,57,58",44,,411,Y,ADMIN
54,"as*  ","56,57,58",65,,109,Y,ADMIN
55,"as*  ","56,58",255,,109,Y,ADMIN
56,"as*  ",57,205,,201,Y,ADMIN
57,"as*  ",57,"90,252,255",,110,Y,ADMIN
58,"as*  ",59,48,,111,Y,ADMIN
59,"as*  ",60,"90,252",,109,Y,ADMIN
60,"as*  ","56,58",0,,109,Y,ADMIN
61,"as*  ",59,"90,252",,111,Y,ADMIN
62,"as*  ","56,58","90,252",,278,Y,ADMIN
63,"as*  ","56,58",72,,109,Y,ADMIN
64,"as*  ",57,72,,110,Y,ADMIN
65,"as*  ",59,72,,111,Y,ADMIN
66,"as*  ","56,57","135,214,231",,278,Y,ADMIN
67,"as*  ","56,57,58",243,,436,Y,ADMIN
68,"as*  ","56,57,58",124,,580,Y,ADMIN
69,"as*  ","56,57,58",100,,314,Y,ADMIN
70,"as*  ","56,57,58",99,,315,Y,ADMIN
71,"as*  ","56,57,58",48,,111,Y,ADMIN
72,as*,9999,135,,1,Y,ADMIN
73,as*,"56,57",135,,431,Y,ADMIN
74,as*,9999,348,,1,Y,ADMIN
75,as*,"56,57",348,,430,Y,ADMIN
76,as*,9999,219,,1,Y,ADMIN
77,"as*  ",58,219,,429,Y,ADMIN
78,as*,9999,102,,1,Y,ADMIN
79,as*,"56,57",102,,347,Y,ADMIN
80,as*,9999,101,,1,Y,ADMIN
81,as*,"56,57",101,,626,Y,ADMIN
82,"as*  ",58,79,,310,Y,ADMIN
83,"as*  ","56,57",79,,571,Y,ADMIN
84,"as*  ","56,57",135,,302,Y,ADMIN
85,"as*  ","56,57,58",76,,423,Y,ADMIN
86,"as*  ","56,57",214,,302,Y,ADMIN
87,"as*  ",58,"135,214",,314,Y,ADMIN
88,"as*  ",59,"252,255",,1,Y,ADMIN
89,"as*  ",57,250,,110,Y,ADMIN
90,"as*  ","56,58",250,,109,Y,ADMIN
91,"as*  ","56,57",100,,433,Y,ADMIN
92,"as*  ","56,57",103,,434,Y,ADMIN
93,"as*  ","56,57",177,,423,Y,ADMIN
94,"as*  ","56,57,58",179,,435,Y,ADMIN
95,"as*  ",9999,253,,1,Y,ADMIN
96,as*,"56,57",253,,302,Y,ADMIN
97,"as*  ","56,57,58",235,,468,Y,ADMIN
98,"as*  ",58,"100,103,177",,1,Y,ADMIN
99,ba*,9999,9999,,1,Y,ADMIN
100,ba*,"2,4,6,9,12-35,41-80,86-114,121-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","20,38,56,57,62,68,70,81,115,116,117,120,128,129,139,162,187,191,192,193,194,196,208,217,237",,688,Y,ADMIN
101,ba*,"116,118-120",9999,,688,Y,ADMIN
102,ba*,9999,"74,78,135,171,214",,1,Y,ADMIN
103,ba*,"116,118-120","74,78,135,171,214",,695,Y,ADMIN
104,"ba*  ","116,118-120","20,38,56,57,62,68,70,81,115,116,117,120,128,129,139,162,187,191,192,193,194,196,208,217,237",,688,Y,ADMIN
105,ba*,9999,"44,45,61,65,106,114,250,309,311,324,327",,1,Y,ADMIN
106,ba*,"116,118-120","44,45,61,65,106,114,250,309,311,324,327",,309,Y,ADMIN
107,ba*,117,9999,,467,Y,ADMIN
108,be*,9999,9999,,1,Y,ADMIN
109,"be*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","20,124,234,288,291,300,314",,39,N,ADMIN
110,"be*  ",9999,"282,294,295,326",,1,Y,ADMIN
111,be*,"31-35,51-55",306,,1,Y,ADMIN
112,be*,162,9999,,1,Y,ADMIN
113,"be*  ","9,12-15,170,171,195",9999,,39,Y,ADMIN
114,"be*  ","9,12-15,170,171,195",326,,795,Y,ADMIN
115,"be*  ","9,12-15,170,171,195",309,,32,Y,ADMIN
116,"be*  ","9,12-15,170,171,195","20,283,288,291,294,300,314",,39,Y,ADMIN
117,"be*  ","9,12-15,170,171,195",306,,52,Y,ADMIN
118,"be*  ","9,12-15,170,171,195","124,290,302,311",,32,Y,ADMIN
119,"be*  ","9,12-15,170,171,195",312,,43,Y,ADMIN
120,"be*  ","9,12-15,170,171,195",145,,710,Y,ADMIN
121,be*,"9,12-15,170,171,195",317,,812,Y,ADMIN
122,"be*  ","6,12",9999,,43,Y,ADMIN
123,"be*  ","6,12",124,,32,Y,ADMIN
124,"be*  ","6,12","20,291",,39,Y,ADMIN
125,"be*  ","6,12",289,,1,Y,ADMIN
126,"be*  ","9,13,14,195",289,,734,Y,ADMIN
127,"be*  ","15,170,171",289,,54,Y,ADMIN
128,be*,"9,12-15,170,171,195",17,,735,Y,ADMIN
129,"be*  ","9,12-15,170,171,195",282,,846,Y,ADMIN
130,"be*  ","9,13,14,170,195",295,,733,Y,ADMIN
131,"be*  ","12,15,170,171",295,,710,Y,ADMIN
132,"be*  ",9999,304,,1,Y,ADMIN
133,"be*  ",6,9999,,741,Y,ADMIN
134,be*,172,9999,,1,Y,ADMIN
135,bebop,9999,9999,,1,Y,ADMIN
136,bebop,"9,13-15,170,171,195",9999,,891,Y,ADMIN
137,bebop,"9,13-15,170,171,195","282,289,295,304",,1,Y,ADMIN
138,bebop,"9,13-15,170,171,195","290,309,326",,894,Y,ADMIN
139,bebop,"9,13-15,170,171,195","20,124,234,283,288,291,294,300,302,311,312,314",,895,Y,ADMIN
140,bebop,6,9999,,903,Y,ADMIN
141,"bv*  ",9999,9999,,1,Y,ADMIN
142,"bv*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","65,78,97,117,245,250",,1,Y,ADMIN
143,"bv*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","2,7,11,20,21,32,52,56,59,62,93,120,248",,440,Y,ADMIN
144,"bv*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","30,106,313",,443,Y,ADMIN
145,"bv*  ","111,112,113,114",9999,,440,Y,ADMIN
146,"bv*  ","111,112,113,114",73,,616,Y,ADMIN
147,"bv*  ","111,112,114","2,7,11,20,21,32,48,52,56,59,61,62,76,93,114,120,148,230,234",,440,Y,ADMIN
148,"bv*  ","111,112,114","91,123,124",,443,Y,ADMIN
149,"bv*  ","111,112,114","65,313,106",,450,Y,ADMIN
150,bv*,"111,112,114",30,,852,Y,ADMIN
151,"bv*  ","111,112,114","248,250",,440,Y,ADMIN
152,"bv*  ","111,112,113",145,,446,Y,ADMIN
153,"bv*  ",114,"44,61,76,145",,1,Y,ADMIN
154,bv*,9999,78,,1,Y,ADMIN
155,"bv   ",9999,135,,1,Y,ADMIN
156,"bv*  ","111,113",135,,953,Y,ADMIN
157,bv*,113,30,,853,N,ADMIN
158,"bv*  ",113,"2,7,11,20,21,32,48,52,56,59,61,62,65,76,93,106,114,120,148,230,234,248,313",,440,Y,ADMIN
159,"bv*  ","147,162,240",9999,,1,Y,ADMIN
160,"cc*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274",9999,,387,Y,ADMIN
161,"cc*  ","2,4,6,9,12-35,41-80,86-114,116-145,146,148,149,151-153,155,156-161,163,165-168,170-171,173-182,188-191,193-198,260-264,266,267,268,271,272-274","78,242,354",,1,Y,ADMIN
162,"cc*  ","153,162",9999,,1,Y,ADMIN
163,"cc*  ",9999,"100,101,106,119,121,123-127,161,163,164,165,179,235,253,336,337,338,339,354",,1,Y,ADMIN
